Task ID,Epic,Story,Task Title,Labels,Description,Story Points,Priority,Dependencies,Reference Docs,Wireframe Files
E1-S1-T1,E1,E1-S1,[BE] 회원가입 API 엔드포인트 개발,"[BE]","POST /api/auth/register 엔드포인트 구현. 이메일/비밀번호/이름 입력 처리, 중복 체크, 유효성 검사",2,P0,,04-feature-breakdown.md; 06-database-design.md; 07-api-specification.md,
E1-S1-T2,E1,E1-S1,[BE] 비밀번호 해싱 및 검증 로직 구현,"[BE]","bcrypt를 사용한 비밀번호 해싱 및 검증 로직 구현. 최소 8자, 영문+숫자+특수문자 조합 검증",1,P0,E1-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S1-T3,E1,E1-S1,[BE] 이메일 중복 체크 API 개발,"[BE]","이메일 중복 확인 API 구현. 실시간 중복 체크 지원",1,P0,E1-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S1-T4,E1,E1-S1,[BE] 이메일 인증 토큰 생성 및 저장,"[BE]","이메일 인증용 토큰 생성 (UUID), 만료 시간 설정 (24시간), DB 저장",2,P0,E1-S1-T1,04-feature-breakdown.md; 06-database-design.md,
E1-S1-T5,E1,E1-S1,[BE] 이메일 발송 서비스 통합,"[BE]","SendGrid/AWS SES 연동, 이메일 템플릿 작성, 발송 큐 처리",2,P0,E1-S1-T4,04-feature-breakdown.md; 07-api-specification.md,
E1-S1-T6,E1,E1-S1,[FE] 회원가입 폼 UI 컴포넌트 개발,"[FE]","회원가입 폼 컴포넌트 개발. 이메일/비밀번호/이름 입력 필드, 비밀번호 강도 표시기",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-001-register.html
E1-S1-T7,E1,E1-S1,[FE] 회원가입 폼 유효성 검사 로직,"[FE]","실시간 폼 유효성 검사 구현. 이메일 형식, 비밀번호 조건, 필수 필드 검증",2,P0,E1-S1-T6,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-001-register.html
E1-S1-T8,E1,E1-S1,[FE] 이메일 인증 완료 페이지 개발,"[FE]","이메일 인증 대기 및 완료 페이지 개발",1,P0,E1-S1-T6,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-002-email-verify.html; e1-auth/auth-003-email-complete.html
E1-S2-T1,E1,E1-S2,[BE] 로그인 API 엔드포인트 개발,"[BE]","POST /api/auth/login 엔드포인트 구현. 이메일/비밀번호 검증",2,P0,E1-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S2-T2,E1,E1-S2,[BE] JWT 토큰 생성 및 검증 로직,"[BE]","Access Token (15분) / Refresh Token (7일) 생성 및 검증 로직 구현",2,P0,E1-S2-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S2-T3,E1,E1-S2,[BE] Refresh Token 로직 구현,"[BE]","토큰 갱신 API, Refresh Token 저장 및 검증, 토큰 무효화",2,P0,E1-S2-T2,04-feature-breakdown.md; 07-api-specification.md,
E1-S2-T4,E1,E1-S2,[BE] 로그인 실패 카운터 및 잠금 로직,"[BE]","5회 연속 실패 시 15분 잠금, 실패 카운터 관리, 잠금 해제 로직",2,P0,E1-S2-T1,04-feature-breakdown.md; 06-database-design.md,
E1-S2-T5,E1,E1-S2,[FE] 로그인 폼 UI 컴포넌트 개발,"[FE]","로그인 폼 컴포넌트 개발. 이메일/비밀번호 입력, 로그인 유지 체크박스, 비밀번호 표시 토글",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-004-login.html; e1-auth/auth-005-login-error.html
E1-S2-T6,E1,E1-S2,[FE] 토큰 저장 및 자동 갱신 로직,"[FE]","localStorage/httpOnly Cookie 토큰 저장, axios interceptor로 자동 갱신",2,P0,E1-S2-T5,04-feature-breakdown.md; 08-ui-ux-design.md,
E1-S2-T7,E1,E1-S2,[FE] 로그인 상태 전역 관리,"[FE]","Context/Zustand로 로그인 상태 관리, 인증 라우팅 가드",2,P0,E1-S2-T6,04-feature-breakdown.md; 08-ui-ux-design.md,
E1-S3-T1,E1,E1-S3,[BE] Google OAuth 통합,"[BE]","Google OAuth 2.0 클라이언트 설정, 인증 플로우 구현",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E1-S3-T2,E1,E1-S3,[BE] Microsoft OAuth 통합,"[BE]","Microsoft OAuth 2.0 클라이언트 설정, 인증 플로우 구현",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E1-S3-T3,E1,E1-S3,[BE] OAuth 콜백 처리 및 사용자 생성/연동,"[BE]","OAuth 콜백 처리, 신규 사용자 생성, 기존 계정 연동 옵션",2,P0,E1-S3-T1; E1-S3-T2,04-feature-breakdown.md; 06-database-design.md,
E1-S3-T4,E1,E1-S3,[FE] 소셜 로그인 버튼 UI 컴포넌트,"[FE]","Google/Microsoft 로그인 버튼 컴포넌트 개발",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-004-login.html; e1-auth/auth-007-oauth-link.html
E1-S3-T5,E1,E1-S3,[FE] OAuth 리다이렉트 처리 로직,"[FE]","OAuth 인증 후 리다이렉트 처리, 토큰 저장, 에러 핸들링",2,P0,E1-S3-T4,04-feature-breakdown.md; 08-ui-ux-design.md,
E1-S4-T1,E1,E1-S4,[BE] TOTP 시크릿 생성 및 저장,"[BE]","TOTP 시크릿 키 생성, 암호화 저장, 활성화/비활성화 관리",2,P1,,04-feature-breakdown.md; 06-database-design.md; 07-api-specification.md,
E1-S4-T2,E1,E1-S4,[BE] QR 코드 생성 API,"[BE]","Google Authenticator용 QR 코드 생성 API",1,P1,E1-S4-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S4-T3,E1,E1-S4,[BE] TOTP 코드 검증 로직,"[BE]","6자리 OTP 코드 검증 로직, 시간 윈도우 허용",1,P1,E1-S4-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S4-T4,E1,E1-S4,[BE] 백업 코드 생성 및 저장,"[BE]","백업 코드 10개 생성, 해싱 저장, 사용 횟수 관리",1,P1,E1-S4-T1,04-feature-breakdown.md; 06-database-design.md,
E1-S4-T5,E1,E1-S4,[FE] 2FA 설정 UI 개발,"[FE]","2FA 설정 페이지, QR 코드 표시, 백업 코드 다운로드",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-008-2fa-setup.html; e1-auth/auth-009-2fa-qr.html; e1-auth/auth-010-2fa-backup.html
E1-S4-T6,E1,E1-S4,[FE] 2FA 코드 입력 화면 개발,"[FE]","로그인 시 OTP 입력 화면, 6자리 입력 필드, 자동 포커스 이동",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-011-2fa-verify.html
E1-S5-T1,E1,E1-S5,[BE] 비밀번호 재설정 토큰 생성 API,"[BE]","재설정 토큰 생성, 만료 시간 설정 (1시간), DB 저장",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E1-S5-T2,E1,E1-S5,[BE] 재설정 이메일 발송 로직,"[BE]","비밀번호 재설정 이메일 템플릿, 발송 처리",1,P0,E1-S5-T1; E1-S1-T5,04-feature-breakdown.md; 07-api-specification.md,
E1-S5-T3,E1,E1-S5,[BE] 새 비밀번호 설정 API,"[BE]","토큰 검증 후 비밀번호 변경, 기존 세션 무효화",1,P0,E1-S5-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S5-T4,E1,E1-S5,[FE] 비밀번호 찾기 UI 개발,"[FE]","비밀번호 찾기 페이지, 이메일 입력 폼, 발송 완료 안내",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-012-forgot-password.html; e1-auth/auth-013-password-sent.html
E1-S5-T5,E1,E1-S5,[FE] 새 비밀번호 설정 UI 개발,"[FE]","새 비밀번호 입력 폼, 비밀번호 강도 표시, 완료 알림",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/auth-014-reset-password.html
E1-S6-T1,E1,E1-S6,[DB] 역할 및 권한 데이터베이스 스키마 설계,"[DB]","roles, permissions, user_roles 테이블 설계, 초기 데이터 시딩",2,P0,,04-feature-breakdown.md; 06-database-design.md,
E1-S6-T2,E1,E1-S6,[BE] 권한 검증 미들웨어 개발,"[BE]","역할 기반 접근 제어 미들웨어, 권한 체크 데코레이터",2,P0,E1-S6-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S6-T3,E1,E1-S6,[BE] API 엔드포인트별 권한 적용,"[BE]","모든 API 엔드포인트에 역할 기반 권한 적용",2,P0,E1-S6-T2,04-feature-breakdown.md; 07-api-specification.md,
E1-S6-T4,E1,E1-S6,[FE] 역할 관리 Admin UI 개발,"[FE]","관리자용 사용자 역할 관리 페이지, 역할 변경 기능",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/admin-001-role-management.html; e1-auth/admin-002-role-modal.html
E1-S6-T5,E1,E1-S6,[FE] 역할 기반 라우팅 가드 구현,"[FE]","역할에 따른 페이지 접근 제어, 리다이렉트 로직",2,P0,E1-S2-T7,04-feature-breakdown.md; 08-ui-ux-design.md,
E1-S6-T6,E1,E1-S6,[FE] 권한 오류 페이지 (403) 개발,"[FE]","403 Forbidden 에러 페이지 개발",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/error-001-forbidden.html
E1-S7-T1,E1,E1-S7,[BE] 프로필 조회/수정 API 개발,"[BE]","사용자 프로필 CRUD API, 이름/소속/자기소개 수정",2,P1,E1-S6-T3,04-feature-breakdown.md; 07-api-specification.md,
E1-S7-T2,E1,E1-S7,[BE] 프로필 사진 업로드 API,"[BE]","S3 연동 이미지 업로드, 리사이즈 처리, URL 저장",2,P1,E1-S7-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S7-T3,E1,E1-S7,[BE] 이메일 변경 검증 로직,"[BE]","이메일 변경 시 재인증 플로우 구현",1,P1,E1-S7-T1,04-feature-breakdown.md; 07-api-specification.md,
E1-S7-T4,E1,E1-S7,[FE] 프로필 페이지 UI 개발,"[FE]","프로필 설정 페이지, 정보 수정 폼, 보안 설정 섹션",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/profile-001-settings.html; e1-auth/profile-001-settings-student.html
E1-S7-T5,E1,E1-S7,[FE] 이미지 업로드 컴포넌트 개발,"[FE]","프로필 사진 업로드 모달, 미리보기, 크롭 기능",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/profile-002-photo-modal.html
E1-S7-T6,E1,E1-S7,[FE] 비밀번호 변경 모달 개발,"[FE]","현재 비밀번호 확인 후 새 비밀번호 설정 모달",1,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e1-auth/profile-003-change-password.html
E2-S0-T1,E2,E2-S0,[BE] 대시보드 데이터 집계 API,"[BE]","교수용 대시보드 데이터 집계 API - 오늘 세션, 통계 요약",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0-T2,E2,E2-S0,[BE] 알림 조회 API,"[BE]","최근 알림 목록 조회 API - 결석, 과제 마감, 참여도 이상",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0-T3,E2,E2-S0,[BE] 채점 대기 과제 목록 API,"[BE]","채점 대기 중인 과제 목록 조회 API",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0-T4,E2,E2-S0,[BE] 위험 학생 목록 API,"[BE]","조기 경보 시스템 연동 위험 학생 목록 API",1,P0,E6-S3-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S0-T5,E2,E2-S0,[FE] 대시보드 레이아웃 및 통계 카드 UI,"[FE]","교수 대시보드 레이아웃, KPI 통계 카드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard.html
E2-S0-T6,E2,E2-S0,[FE] 오늘 일정 섹션 UI,"[FE]","오늘 예정/진행 중/완료 세션 목록 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard.html
E2-S0-T7,E2,E2-S0,[FE] 알림 섹션 UI,"[FE]","최근 알림 목록 컴포넌트",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard.html
E2-S0-T8,E2,E2-S0,[FE] 채점 대기/위험 학생 섹션 UI,"[FE]","채점 대기 과제 및 위험 학생 목록 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard.html
E2-S0S-T1,E2,E2-S0-S,[BE] 학생 대시보드 데이터 집계 API,"[BE]","학생용 대시보드 데이터 집계 API - 오늘 세션, 통계 요약",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0S-T2,E2,E2-S0-S,[BE] 마감 임박 과제/퀴즈 목록 API,"[BE]","마감 임박 과제 및 퀴즈 목록 조회 API",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0S-T3,E2,E2-S0-S,[BE] 주간 참여도 집계 API,"[BE]","학생 주간 참여도 지표 집계 API",2,P0,E5-S5-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S0S-T4,E2,E2-S0-S,[BE] 최근 성적 목록 API,"[BE]","학생 최근 성적 목록 조회 API",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0S-T5,E2,E2-S0-S,[FE] 학생 대시보드 레이아웃 및 통계 카드 UI,"[FE]","학생 대시보드 레이아웃, KPI 통계 카드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard-student.html
E2-S0S-T6,E2,E2-S0-S,[FE] 학생 오늘 일정 섹션 UI,"[FE]","학생용 오늘 세션 목록, LIVE 입장 버튼",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard-student.html
E2-S0S-T7,E2,E2-S0-S,[FE] 마감 임박/참여도/성적 섹션 UI,"[FE]","마감 임박 과제, 주간 참여도, 최근 성적 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/dashboard-student.html
E2-S0SL-T1,E2,E2-S0-SL,[BE] 학생 코스 목록 API,"[BE]","학생 수강 코스 목록 조회 API - 진도, 상태 포함",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0SL-T2,E2,E2-S0-SL,[BE] 초대 코드 검증 및 등록 API,"[BE]","코스 초대 코드 검증 및 학생 등록 API",1,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0SL-T3,E2,E2-S0-SL,[FE] 학생 코스 목록 UI,"[FE]","학생 코스 목록 카드 그리드, 진도 표시, LIVE 버튼",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-001-course-list-student.html
E2-S0SL-T4,E2,E2-S0-SL,[FE] 코스 등록 모달 UI,"[FE]","초대 코드 입력 모달, 코스 등록 확인",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-008-invite-accept.html
E2-S0AS-T1,E2,E2-S0-AS,[BE] 과제 제출 API,"[BE]","학생 과제 파일 업로드 및 제출 API",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0AS-T2,E2,E2-S0-AS,[BE] 임시 저장 API,"[BE]","과제 임시 저장 API",1,P0,E2-S0AS-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S0AS-T3,E2,E2-S0-AS,[BE] 제출 횟수 관리 로직,"[BE]","과제 재제출 횟수 관리 및 검증 로직",1,P0,E2-S0AS-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S0AS-T4,E2,E2-S0-AS,[FE] 파일 업로드 UI,"[FE]","드래그앤드롭 파일 업로드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0AS-T5,E2,E2-S0-AS,[FE] 과제 상세 및 루브릭 표시 UI,"[FE]","과제 상세 정보, 평가 기준 표시 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0AS-T6,E2,E2-S0-AS,[FE] 제출 확인 모달 UI,"[FE]","제출 전 확인 모달, 표절 확인 동의, 성공 페이지",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0CD-T1,E2,E2-S0-CD,[BE] 학생 코스 상세 API,"[BE]","학생용 코스 상세 조회 API - 진도, 성적 요약",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0CD-T2,E2,E2-S0-CD,[BE] 학생 세션/과제 현황 API,"[BE]","학생의 세션 출석, 과제 제출 현황 API",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0CD-T3,E2,E2-S0-CD,[FE] 학생 코스 상세 UI,"[FE]","코스 상세 Hero 섹션, 진도 카드, 점수 표시",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-003-course-detail-student.html
E2-S0CD-T4,E2,E2-S0-CD,[FE] 세션/과제/녹화 목록 컴포넌트,"[FE]","학생용 세션, 과제, 녹화 영상 목록 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-003-course-detail-student.html
E2-S1-T1,E2,E2-S1,[BE] 코스 CRUD API 개발,"[BE]","코스 생성/조회/수정/삭제 API 구현",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-T2,E2,E2-S1,[BE] 코스 코드 생성 로직,"[BE]","고유 코스 코드 자동 생성 로직 (예: CS101-2025-F)",1,P0,E2-S1-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S1-T3,E2,E2-S1,[BE] 평가 기준 스키마 설계 및 저장,"[BE]","코스별 평가 기준 (참여도/퀴즈/과제 가중치) 저장 로직",2,P0,E2-S1-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S1-T4,E2,E2-S1,[BE] TA 배정 API 개발,"[BE]","코스에 TA 배정/제거 API",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-T5,E2,E2-S1,[FE] 코스 생성 폼 UI 개발,"[FE]","코스 생성 폼 - 기본 정보, 썸네일 업로드, 평가 기준",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-002-create-course.html
E2-S1-T6,E2,E2-S1,[FE] 코스 설정 페이지 UI 개발,"[FE]","코스 설정 페이지 - 정보 수정, TA 관리, 공개 설정",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S1-T7,E2,E2-S1,[FE] 코스 목록 및 카드 컴포넌트 개발,"[FE]","코스 목록 그리드, 코스 카드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-001-course-list.html
E2-S1-1-T1,E2,E2-S1-1,[BE] 코스 설정 조회/수정 API,"[BE]","코스 상세 설정 조회 및 수정 API",2,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T2,E2,E2-S1-1,[BE] 초대 코드 재생성 API,"[BE]","코스 초대 코드 재생성 및 무효화 API",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T3,E2,E2-S1-1,[BE] 코스 보관/삭제 API,"[BE]","코스 보관 처리 및 삭제 API (소프트 삭제)",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T4,E2,E2-S1-1,[FE] 코스 설정 페이지 UI,"[FE]","코스 설정 섹션별 폼 (기본 정보, 일정, 수강생, 평가)",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S1-1-T5,E2,E2-S1-1,[FE] 위험 영역 UI 및 확인 모달,"[FE]","코스 보관/삭제 위험 영역 UI, 확인 모달",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S2-T1,E2,E2-S2,[BE] CSV 파싱 및 검증 로직,"[BE]","학생 CSV 파일 파싱, 이메일 형식/중복 검증",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T2,E2,E2-S2,[BE] 일괄 사용자 생성/등록 API,"[BE]","CSV 기반 일괄 사용자 생성 및 코스 등록 API",2,P0,E2-S2-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T3,E2,E2-S2,[BE] 초대 이메일 발송 큐 처리,"[BE]","등록된 학생 초대 이메일 비동기 발송 처리",2,P0,E2-S2-T2; E1-S1-T5,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T4,E2,E2-S2,[FE] CSV 업로드 UI 컴포넌트,"[FE]","CSV 파일 업로드 컴포넌트, 템플릿 다운로드",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
E2-S2-T5,E2,E2-S2,[FE] 검증 결과 미리보기 UI,"[FE]","CSV 파싱 결과 미리보기 테이블",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
E2-S2-T6,E2,E2-S2,[FE] 오류 표시 및 수정 UI,"[FE]","오류 행 하이라이트, 수정 기능",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
